h,variable,coef,se_DK,ic_bajo,ic_alto,p,N
0,L1_rent,-0.226351712336318,0.4675316372435968,-1.1427137213337677,0.6900102966611317,0.6286467514482319,336
0,L1rent_x_stress,0.03113315259718913,0.04855669052933112,-0.06403796084029986,0.12630426603467812,0.5219126441914184,336
0,ln_gdp,-2.5245057873162593,0.9747149629994871,-4.4349471147952535,-0.6140644598372647,0.010077504124752057,336
0,openness,0.03546387237338288,0.028141752327747446,-0.019693962189002115,0.09062170693576788,0.20860461293322707,336
1,L1_rent,0.018159545004491046,0.344294804996101,-0.6566582727878669,0.692977362796849,0.9579730858730797,324
1,L1rent_x_stress,0.06814119780078992,0.04355241295321767,-0.017221531587516714,0.15350392718909656,0.1188030703806473,324
1,ln_gdp,-2.8657489036455117,1.1475546841224635,-5.11495608452554,-0.6165417227654832,0.01308581432425493,324
1,openness,-0.008394338471797706,0.024374450305827494,-0.0561682610712196,0.039379584127624184,0.7308090242439784,324
2,L1_rent,0.2201973911918434,0.5048405519552761,-0.7692900906404978,1.2096848730241845,0.6630590923557862,312
2,L1rent_x_stress,0.02126663379037952,0.05268798878407817,-0.0820018242264137,0.12453509180717273,0.6868005993778905,312
2,ln_gdp,-2.300320000135348,0.8262544296993518,-3.9197786823460774,-0.6808613179246183,0.005746843957174175,312
2,openness,-0.0068052134559203874,0.027446878682162005,-0.06060109567295792,0.04699066876111714,0.8043676247598226,312
3,L1_rent,0.5945656231740628,0.5650517649373007,-0.5129358361030465,1.702067082451172,0.2936699997279184,300
3,L1rent_x_stress,0.11447017753171487,0.04926466183382215,0.01791144033742345,0.2110289147260063,0.020919771200364146,300
3,ln_gdp,-1.4752939636816595,1.1906171450684984,-3.8089035680159165,0.8583156406525974,0.21642577631436755,300
3,openness,-0.021147962042811663,0.01906213151256818,-0.05850973980744529,0.016213815721821963,0.268272937732698,300
4,L1_rent,-0.2993509777984108,0.5786890344311975,-1.433581485283558,0.8348795296867363,0.6054118276974894,288
4,L1rent_x_stress,0.10732696566194633,0.055310012771522796,-0.0010806593702383516,0.215734590694131,0.053452417942686736,288
4,ln_gdp,-0.3544342651717657,1.6262846249167695,-3.541952130008634,2.8330835996651023,0.8276534986921278,288
4,openness,-0.024176208403586474,0.020663122350559723,-0.06467592821068352,0.016323511403510578,0.2431127065201819,288
5,L1_rent,-0.265561901676689,0.40456725802714866,-1.0585137274099004,0.5273899240565223,0.5121946447356289,276
5,L1rent_x_stress,0.016896793246591567,0.04878141761587388,-0.07871478528052123,0.11250837177370437,0.7293649379323377,276
5,ln_gdp,0.4734893744144393,1.937716419050582,-3.3244348069247014,4.27141355575358,0.8071669437143694,276
5,openness,-0.01952946028761241,0.018979473775758184,-0.05672922888809845,0.017670308312873625,0.3045346123352961,276
