iso3c,periodo,sd,reversiones,n,cambio_sd
ARG,1995-2010,6.673819995845453,0.5,16.0,-1.5012489111950833
ARG,2011-2023,5.17257108465037,0.7692307692307693,13.0,-1.5012489111950833
AUS,1995-2010,0.9017508392842365,0.5625,16.0,0.17618977863477847
AUS,2011-2023,1.077940617919015,0.5384615384615384,13.0,0.17618977863477847
BRA,1995-2010,2.24165147929767,0.6875,16.0,0.5720815525575711
BRA,2011-2023,2.813733031855241,0.5384615384615384,13.0,0.5720815525575711
CAN,1995-2010,1.8920449523879828,0.5625,16.0,0.6370329707193909
CAN,2011-2023,2.5290779231073737,0.46153846153846156,13.0,0.6370329707193909
CHL,1995-2010,2.6675994549341424,0.5625,16.0,1.3318603602065537
CHL,2011-2023,3.999459815140696,0.46153846153846156,13.0,1.3318603602065537
COL,1995-2010,2.6894697252223296,0.5625,16.0,1.5274235779446692
COL,2011-2023,4.216893303166999,0.46153846153846156,13.0,1.5274235779446692
NOR,1995-2010,1.8381525252655158,0.5,16.0,-0.4689621457991593
NOR,2011-2023,1.3691903794663565,0.6923076923076923,13.0,-0.4689621457991593
NZL,1995-2010,1.8147041952616922,0.4375,16.0,-0.5341620793236306
NZL,2011-2023,1.2805421159380617,0.5384615384615384,13.0,-0.5341620793236306
PER,1995-2010,3.0841921311108784,0.5625,16.0,2.276441671078026
PER,2011-2023,5.360633802188905,0.46153846153846156,13.0,2.276441671078026
PRY,1995-2010,3.641078854357458,0.4375,16.0,-0.8621956803867117
PRY,2011-2023,2.7788831739707462,0.5384615384615384,13.0,-0.8621956803867117
URY,1995-2010,4.832886901526348,0.375,16.0,-1.4387561960099533
URY,2011-2023,3.3941307055163947,0.6153846153846154,13.0,-1.4387561960099533
ZAF,1995-2010,1.8277392253509865,0.5,16.0,0.7034961035711742
ZAF,2011-2023,2.5312353289221607,0.46153846153846156,13.0,0.7034961035711742
