unidad,rmspe_pre,rmspe_post,ratio,tipo,percentil,p_value
NOR,0.6553885726736641,1.091355199823904,1.6652032783722635,placebo,100.0,0.08333333333333333
ARG,2.0389129257627383,3.3937300838867497,1.6644801457704168,tratada,91.66666666666666,0.16666666666666666
PER,0.9810552222965597,1.0873913394708057,1.108389532778107,placebo,83.33333333333334,0.25
CHL,0.6738018642235035,0.7160210025120527,1.0626580906498426,placebo,75.0,0.3333333333333333
AUS,1.078773117116046,0.9702868606029603,0.8994355209711667,placebo,66.66666666666666,0.4166666666666667
NZL,1.3827820293843425,1.1978343634048036,0.866249588113404,placebo,58.333333333333336,0.5
CAN,0.7667908330724184,0.45495724263807386,0.5933263975198124,placebo,50.0,0.5833333333333334
COL,1.2925410995524593,0.7529150378586865,0.5825076186121915,placebo,41.66666666666667,0.6666666666666666
PRY,1.1957604781382556,0.6612811302141929,0.5530213970976674,placebo,33.33333333333333,0.75
BRA,2.526931597453364,1.134953063858738,0.44914277260316077,placebo,25.0,0.8333333333333334
URY,4.228913964559794,1.587200018859986,0.3753209528880081,placebo,16.666666666666664,0.9166666666666666
ZAF,1.9783363638362361,0.6040385638084816,0.30532652325976406,placebo,8.333333333333332,1.0
